company_name,country,Line_of_business,company_size,date,revenue_type,revenue_stream,currency,fiscal_year,fiscal_quarter,region,payment_method,transaction_amount,transaction_date,transaction_status,Loan_ID,loan_status,Principal_amount,terms,effective_date,due_date,paid_off_time,past_due_days,Loan_flag,product_name,product_category,product_price,quality_category,Import percentage,export percentage
"Hanson, Estrada and Nguyen",Tuvalu,Retail,Medium,2012-04-18,Subscription,Online,USD,2022,3,Europe,Cash,3908.11,1975-03-03,Failed,dd759084-b09b-4036-b4c3-b44ee0b9a426,Approved,25610.93,19,2003-05-12,2011-11-02,2012-04-05,10,Yes,Manual,Books,158.13,Low,81.09,18.12
Perry-Hill,Croatia,Retail,Large,2005-02-13,Service Revenue,Offline,USD,2018,4,Africa,PayPal,3964.48,2009-07-08,Pending,ce8ac194-3d74-4008-b202-100772e0f66e,Rejected,99295.36,23,2022-05-27,1971-10-09,2002-08-29,13,No,Toaster,Household Items,991.8,High,54.71,80.81
Taylor Group,Croatia,Technology,Medium,1972-05-02,Subscription,Offline,USD,2020,3,Australia,Cash,2046.67,1975-07-13,Pending,b727fe6e-34be-4349-a66f-c39ddbae43dd,Pending,14105.89,50,2007-10-13,2012-01-01,2015-09-21,7,Yes,Camera,Electronics,546.92,High,12.29,47.4
"Avila, King and Ingram",Tonga,Retail,Large,1995-08-01,Subscription,Online,USD,2019,2,Australia,Cash,6329.58,2018-10-24,Completed,6907c553-347c-4b1b-aec7-89fb070390eb,Pending,50117.33,54,1998-07-25,1995-10-12,2023-08-13,10,No,Table,Furniture,673.79,High,18.9,97.56
Jones Group,Pakistan,Healthcare,Small,2019-07-01,Subscription,Online,USD,2018,2,Australia,Cash,4432.48,2016-10-17,Pending,2a30f0cf-2a02-432b-bbd6-b1bdc69bbefa,Approved,14916.91,51,2000-04-18,1973-07-04,2023-08-03,20,No,Blender,Household Items,473.47,Low,30.07,19.62
Vasquez Group,Pakistan,Manufacturing,Large,2015-12-08,Service Revenue,Offline,USD,2019,3,Asia,Credit Card,7706.14,2005-03-19,Pending,89fd66f0-bb27-4fbe-9e27-626efeddc4a7,Approved,31359.75,21,2014-04-12,2018-05-01,2011-08-17,11,Yes,Pants,Clothing,492.67,Medium,6.43,77.4
Perry-Hill,Japan,Healthcare,Medium,1973-07-15,Product Sales,Offline,USD,2021,1,Australia,Credit Card,247.5,1989-02-24,Completed,f40e284e-52a0-48c7-a6f0-14d92680fd06,Pending,11533.07,1,1993-04-28,2015-11-07,1993-06-22,19,No,Toaster,Household Items,991.8,High,7.66,40.08
"Hanson, Estrada and Nguyen",Gambia,Retail,Medium,2013-10-29,Service Revenue,Online,USD,2018,1,Europe,Credit Card,8798.29,1994-08-10,Completed,3d4cee26-eef3-45d4-9b5d-e0dce27fc73f,Rejected,49619.09,37,1985-08-13,1995-06-22,1999-04-28,27,Yes,Camera,Electronics,546.92,High,28.89,80.95
"Hanson, Estrada and Nguyen",Maldives,Technology,Medium,2008-11-25,Product Sales,Online,USD,2022,3,Africa,PayPal,6177.99,1979-03-29,Failed,d68462e0-d3eb-4401-a714-686fa574454c,Pending,64451.33,37,2003-05-10,2011-04-04,1976-01-18,1,Yes,Table,Furniture,673.79,Medium,21.53,18.62
Oliver LLC,South Georgia and the South Sandwich Islands,Manufacturing,Medium,2002-07-17,Product Sales,Offline,USD,2018,3,North America,Bank Transfer,7962.75,2006-04-21,Pending,b1f355b1-4ca3-46b9-87ff-a41619c6d596,Approved,75680.63,38,1982-05-18,2018-08-06,1998-06-30,0,No,Toaster,Household Items,991.8,Medium,60.14,97.61
Perry-Hill,Maldives,Finance,Small,2003-09-08,Service Revenue,Online,USD,2019,3,Asia,Credit Card,3315.78,1984-08-14,Failed,0baa86d1-eda8-4118-8bc3-9e3a6c26afc0,Approved,24288.75,14,1983-09-24,1987-04-06,2010-02-20,16,Yes,Toaster,Household Items,991.8,High,18.99,91.68
Perry-Hill,Maldives,Healthcare,Large,1973-01-10,Product Sales,Online,USD,2019,2,Europe,PayPal,7246.96,1994-03-09,Completed,068abc70-bfac-4c8b-a8aa-abdad962717c,Rejected,66557.71,14,1971-03-03,1980-08-12,2021-03-23,29,No,Table,Furniture,673.79,Medium,70.99,49.12
Jones Group,Japan,Manufacturing,Small,2004-06-25,Subscription,Online,USD,2022,2,Africa,Cash,6015.52,2021-05-12,Failed,3e0feb65-e615-4df1-9d5e-3970995840fb,Approved,50724.53,28,1995-10-15,2001-03-25,1999-07-19,18,Yes,Dress,Clothing,724.96,Medium,50.27,13.03
Perry-Hill,Pakistan,Retail,Medium,2024-02-13,Product Sales,Online,USD,2018,2,Africa,Cash,9569.57,1978-05-15,Failed,5b3950b8-83fc-4097-b21d-132b76c06b0f,Pending,80871.63,13,1992-07-30,2015-05-14,1982-01-28,4,No,Comic,Books,465.59,Low,70.29,98.75
Luna-Brewer,South Georgia and the South Sandwich Islands,Finance,Large,2003-12-17,Service Revenue,Offline,USD,2019,1,Europe,Cash,9471.69,2014-07-27,Failed,e8473ae7-da0d-455a-9131-65819452692c,Approved,7757.92,39,2019-03-09,1984-07-23,1983-12-14,8,No,Cabinet,Furniture,689.9,Medium,12.0,37.83
"Hanson, Estrada and Nguyen",Saint Barthelemy,Retail,Large,1985-10-20,Service Revenue,Offline,USD,2020,3,North America,Cash,9436.3,2017-11-18,Completed,f5973635-25d2-4973-ad45-37c0f47c3258,Approved,27601.9,56,1996-07-15,1997-12-11,2018-04-15,6,Yes,Dress,Clothing,724.96,Medium,44.19,61.52
Jones Group,Tuvalu,Retail,Small,1986-11-20,Subscription,Online,USD,2020,1,Africa,Credit Card,9357.09,1994-11-27,Failed,467127fc-f1a7-4ec0-8aa1-7225aa1623ef,Pending,60844.98,6,2008-09-27,2001-12-10,2010-12-23,8,No,Laptop,Electronics,13.46,Medium,6.82,82.5
Taylor Group,Croatia,Finance,Large,2008-05-12,Product Sales,Online,USD,2022,4,Australia,PayPal,9004.43,2008-12-22,Pending,aab9a1ab-8685-4012-982a-bf9c9dc1f86b,Approved,73697.64,6,2006-02-06,2009-06-07,1997-02-27,21,No,Dress,Clothing,724.96,High,61.57,80.03
Marshall-Cameron,Lesotho,Retail,Medium,1974-06-05,Service Revenue,Offline,USD,2019,4,Africa,PayPal,6699.63,2022-11-07,Failed,ac68f36c-9366-40f9-b1bf-81b5813f1f80,Pending,30503.04,57,1975-12-26,2004-01-09,1972-09-10,20,Yes,Smartphone,Electronics,606.35,High,12.75,40.51
"Avila, King and Ingram",Japan,Healthcare,Large,2011-08-25,Subscription,Online,USD,2023,1,Africa,PayPal,8153.85,1984-04-17,Completed,f848a4c3-75f5-4d53-90f6-1727a4e74b12,Approved,48314.08,38,1971-04-02,2007-10-23,1980-01-21,23,Yes,Smartphone,Electronics,606.35,High,92.93,87.89
Vasquez Group,Saint Barthelemy,Technology,Medium,2005-12-15,Product Sales,Online,USD,2023,2,Africa,Cash,683.82,1980-04-09,Pending,fe28c59c-4b43-42a4-b239-9ca0157e60d0,Pending,83402.26,31,2017-12-26,1993-04-20,2010-08-22,8,No,Novel,Books,85.64,Low,4.53,75.06
"Hanson, Estrada and Nguyen",Saint Barthelemy,Technology,Medium,1986-03-16,Subscription,Online,USD,2019,1,Europe,Cash,7588.94,1974-01-30,Completed,4ff10176-394c-4b87-b7d7-83e12348df24,Rejected,86188.89,3,1997-11-13,2019-09-22,2003-09-18,9,No,Magazine,Books,626.2,High,8.32,10.65
"Avila, King and Ingram",Maldives,Retail,Small,2009-06-06,Product Sales,Online,USD,2022,3,Europe,Bank Transfer,427.43,2007-07-16,Completed,da4bf3f8-382c-4c50-b67b-6b23ffaf6df3,Rejected,43264.22,5,2009-03-20,1989-07-23,1999-04-13,27,Yes,Magazine,Books,626.2,Medium,85.72,73.55
Taylor Group,Japan,Retail,Medium,1976-04-08,Service Revenue,Online,USD,2021,1,Africa,Bank Transfer,223.68,1987-02-07,Completed,62589128-44a3-4398-ae80-39740e43b5c6,Rejected,30060.05,1,1998-06-09,1975-02-21,1998-08-15,7,Yes,Novel,Books,85.64,Low,38.44,98.38
"Avila, King and Ingram",Gambia,Technology,Large,1980-10-29,Product Sales,Online,USD,2023,3,Europe,Credit Card,4993.04,2006-08-19,Completed,2b0794ad-8601-4bc7-9bb6-ee159efb8c89,Pending,89171.5,31,1975-04-25,1985-06-28,1971-04-06,16,Yes,Novel,Books,85.64,High,67.44,41.9
Marshall-Cameron,Japan,Retail,Medium,1992-09-09,Subscription,Offline,USD,2020,4,Australia,PayPal,5161.64,2004-01-22,Completed,f9da20ed-2d4b-46be-a9cc-97d8e293886c,Approved,80941.09,59,1993-10-29,2018-04-10,1994-06-09,13,Yes,Toaster,Household Items,991.8,High,82.37,22.3
Taylor Group,Tuvalu,Manufacturing,Small,1977-05-03,Service Revenue,Online,USD,2022,4,Africa,Bank Transfer,3207.6,2014-06-27,Failed,c45a4f8e-a41c-45a3-818e-fdbeead63f4d,Pending,63813.94,3,1985-02-23,1985-06-21,2021-11-12,3,No,Headphones,Electronics,506.47,Low,98.88,16.68
Vasquez Group,Japan,Technology,Large,2005-04-25,Subscription,Online,USD,2018,2,Asia,PayPal,3138.52,1982-06-17,Pending,f3633e97-e10f-45f6-ba37-67642e3e3d44,Rejected,66717.98,1,2009-05-10,2009-09-08,1992-11-02,3,Yes,Bed,Furniture,931.86,Low,75.64,73.91
Walker-Olson,Saint Barthelemy,Finance,Small,2009-04-05,Service Revenue,Online,USD,2018,2,Australia,Credit Card,7375.66,1995-05-03,Pending,b8304fa4-0ba5-465d-9dde-379cd9cf4678,Pending,4341.12,57,2008-07-28,1985-01-11,1985-07-02,2,No,Textbook,Books,222.95,Medium,58.9,60.36
Vasquez Group,Pakistan,Retail,Medium,1986-03-05,Subscription,Online,USD,2022,1,Asia,Cash,6350.6,1995-04-05,Failed,04758ae2-a74c-4d83-b705-a24bc8776e9d,Rejected,69078.91,49,1981-09-09,2005-11-29,1990-02-08,21,No,Pants,Clothing,492.67,Low,41.7,21.53
Taylor Group,Gambia,Finance,Small,2021-09-12,Subscription,Offline,USD,2019,1,Europe,Cash,915.92,2010-05-14,Failed,208b2716-0d13-4af2-a4b4-402d97fcece7,Approved,84362.79,16,1989-09-01,2006-06-20,2009-02-28,6,No,Jacket,Clothing,100.32,Low,74.61,35.52
Oliver LLC,Japan,Technology,Small,1972-06-27,Service Revenue,Offline,USD,2021,1,Asia,Cash,8946.21,1983-05-26,Completed,9f3790a0-e7d7-4d5c-b09a-e0d6500b99b3,Pending,47284.24,57,2001-01-15,1984-09-22,2015-01-29,24,Yes,Camera,Electronics,546.92,Medium,77.58,73.11
"Hanson, Estrada and Nguyen",Croatia,Retail,Small,1984-08-01,Subscription,Offline,USD,2021,4,Asia,Bank Transfer,3716.45,1988-08-06,Failed,f780b301-42c1-4d24-b5d5-cddd9d68dc48,Pending,85881.36,5,2009-10-30,2000-04-24,1975-06-15,19,Yes,Blender,Household Items,473.47,High,64.6,30.57
Jones Group,Maldives,Manufacturing,Medium,2024-03-02,Service Revenue,Offline,USD,2023,2,Europe,Credit Card,5319.63,1991-09-16,Pending,63067e0f-2fcc-4f13-b6e2-cb1351f11785,Approved,4349.75,23,1982-05-16,1992-06-14,1988-05-24,25,Yes,Cabinet,Furniture,689.9,Low,69.66,12.03
Jones Group,Lesotho,Manufacturing,Small,1985-11-25,Service Revenue,Online,USD,2019,1,Europe,PayPal,2729.53,2018-11-03,Completed,a2f31a2f-b17d-42db-9021-6107a6f35e96,Rejected,54021.61,22,1995-10-21,1973-12-10,1996-02-23,11,Yes,Toaster,Household Items,991.8,Medium,29.97,32.21
Perry-Hill,Gambia,Finance,Large,2022-04-29,Product Sales,Offline,USD,2022,3,North America,PayPal,9615.26,2019-04-24,Completed,cafdb280-e2c7-4dce-ae3e-bb206e5bff03,Approved,79727.89,35,1994-07-23,1996-09-22,2017-10-12,20,No,Bed,Furniture,931.86,High,18.07,85.93
"Avila, King and Ingram",Maldives,Healthcare,Medium,1982-12-12,Subscription,Online,USD,2019,1,Asia,Credit Card,960.12,2016-10-01,Completed,7e38d856-9725-410f-8657-ddfa8298416f,Rejected,2716.73,50,2004-01-01,2018-09-10,1984-09-23,21,No,Dress,Clothing,724.96,High,26.76,48.98
Oliver LLC,Lesotho,Retail,Medium,2020-05-03,Product Sales,Online,USD,2021,4,Europe,Bank Transfer,4771.93,2014-12-13,Completed,6f95203d-75b6-42c4-bf6c-6edd49b81122,Pending,94521.13,41,1996-06-03,1997-10-24,1977-01-22,24,No,Toaster,Household Items,991.8,High,13.02,42.97
Oliver LLC,Saint Barthelemy,Retail,Large,1991-09-22,Subscription,Online,USD,2023,4,Africa,Cash,678.22,1978-05-13,Failed,653b272c-93f1-4a64-99bd-c0510876df02,Approved,36368.65,45,1972-12-01,1979-07-02,1978-08-24,9,Yes,Cabinet,Furniture,689.9,High,92.47,98.72
Oliver LLC,Japan,Healthcare,Small,2006-03-21,Product Sales,Online,USD,2018,2,North America,PayPal,7176.1,2020-11-15,Pending,b5af9e48-a6b3-4554-9c0c-8dcd7adfbdfb,Rejected,86391.09,24,1978-02-25,1993-06-03,2015-04-28,13,No,Bed,Furniture,931.86,Medium,26.18,26.18
Oliver LLC,Tuvalu,Healthcare,Medium,1979-10-04,Product Sales,Online,USD,2021,2,Australia,PayPal,3501.12,1983-06-09,Pending,d4d1464c-3c88-4e54-a842-9b20f0b58d52,Rejected,95297.54,9,1979-10-09,2023-09-30,2022-07-16,17,Yes,Microwave,Household Items,459.28,Low,11.46,41.71
Vasquez Group,Tuvalu,Retail,Small,2004-10-17,Product Sales,Online,USD,2019,1,Africa,Credit Card,4289.33,2024-10-16,Failed,725439e6-2b91-418b-804b-ed48f31acdc3,Rejected,2084.73,60,1975-11-18,1989-07-24,2002-09-19,14,No,Shoes,Clothing,492.37,Medium,19.3,50.48
Perry-Hill,Tuvalu,Finance,Large,1976-06-05,Subscription,Online,USD,2019,3,Europe,Cash,882.89,1986-11-03,Completed,4ef811f7-7a1c-433a-af68-9ab6e99fe447,Rejected,25491.82,11,1986-04-15,2000-03-07,2019-11-13,24,No,Novel,Books,85.64,High,89.34,31.22
"Hanson, Estrada and Nguyen",Maldives,Manufacturing,Medium,2021-09-21,Product Sales,Offline,USD,2019,2,Africa,Bank Transfer,4779.42,1986-07-12,Failed,fdb41000-d565-4373-b2a9-88c5546082a5,Rejected,51407.44,18,1979-08-24,2017-01-03,2020-10-14,21,Yes,Blender,Household Items,473.47,Medium,6.87,40.03
"Hanson, Estrada and Nguyen",Lesotho,Manufacturing,Medium,2010-05-19,Subscription,Offline,USD,2020,1,Asia,Credit Card,6273.01,1983-05-16,Completed,77088fd4-05ca-418b-b57a-f1d9052b8355,Pending,84749.58,13,2024-10-22,2001-11-02,2004-06-28,10,No,Toaster,Household Items,991.8,Low,31.05,9.41
Taylor Group,Tonga,Healthcare,Small,1970-02-21,Subscription,Offline,USD,2021,3,Africa,Bank Transfer,4899.27,1986-04-07,Completed,13c90a39-1523-4f9b-aff3-3865d211650c,Pending,49410.54,1,2018-09-12,2006-08-10,1999-01-05,27,No,Bed,Furniture,931.86,High,1.06,95.51
Taylor Group,Tuvalu,Technology,Small,2001-07-01,Service Revenue,Online,USD,2023,2,Africa,PayPal,3860.74,1995-03-22,Failed,aaac4e4c-53e6-4e39-b37c-f4424c3ffc4c,Rejected,93917.73,49,1985-06-27,2014-08-08,1999-05-16,3,Yes,Manual,Books,158.13,High,79.52,61.25
Walker-Olson,Pakistan,Technology,Large,2020-04-25,Subscription,Online,USD,2021,4,North America,Bank Transfer,7150.93,2006-01-22,Completed,496e918d-8275-4503-a8d1-82fda16c0940,Approved,87976.78,39,1970-03-03,1988-01-29,1991-10-17,12,Yes,Headphones,Electronics,506.47,High,79.7,97.01
Jones Group,Pakistan,Manufacturing,Medium,1987-07-21,Subscription,Offline,USD,2022,2,Asia,Credit Card,3990.63,1971-07-07,Pending,27d373fa-a953-4a63-897b-e636331debcf,Approved,90395.44,5,1988-10-13,1978-05-12,2003-12-08,29,Yes,Bed,Furniture,931.86,Medium,81.56,10.76
Marshall-Cameron,Lesotho,Retail,Small,2021-10-14,Product Sales,Online,USD,2019,1,Africa,Credit Card,1449.72,2008-02-04,Completed,1165059e-a798-4003-9a06-fa8e17f81578,Approved,3445.82,13,2012-07-08,2013-09-16,2008-11-10,23,No,Laptop,Electronics,13.46,Medium,75.34,42.9
Marshall-Cameron,Tuvalu,Finance,Large,1983-11-01,Subscription,Online,USD,2020,1,North America,PayPal,6793.64,2017-05-11,Pending,605c39f3-55bd-4b6c-8481-a1b14181db8b,Pending,23739.48,9,2017-05-27,1990-09-13,1976-04-22,24,Yes,Comic,Books,465.59,High,27.0,65.4
"Hanson, Estrada and Nguyen",Gambia,Healthcare,Medium,1986-02-12,Service Revenue,Online,USD,2021,2,Africa,PayPal,6760.66,1988-07-08,Pending,43171ef1-169c-40e8-b05a-d4195d71f8e9,Pending,96160.29,38,1986-01-15,1984-02-18,1998-01-13,12,No,Shirt,Clothing,359.27,Low,77.99,4.07
Vasquez Group,Tonga,Healthcare,Large,2013-06-22,Service Revenue,Online,USD,2018,4,Australia,Cash,4898.5,1985-12-31,Completed,3c2cebe3-99d8-49a5-8043-f7746f5b5203,Rejected,83018.74,28,1990-03-16,2016-06-01,1980-11-20,4,Yes,Blender,Household Items,473.47,Medium,90.83,42.75
Perry-Hill,Gambia,Finance,Small,2024-02-05,Service Revenue,Offline,USD,2019,1,Asia,Bank Transfer,9104.99,1987-02-14,Pending,f07c2a9c-cc29-4eff-8918-63b966520356,Rejected,81354.62,52,2004-11-08,2012-06-10,2017-06-14,2,Yes,Comic,Books,465.59,Medium,51.23,95.83
"Avila, King and Ingram",Tuvalu,Manufacturing,Medium,1973-04-06,Subscription,Online,USD,2021,1,Asia,Bank Transfer,9337.3,1988-05-19,Failed,2b4ec1f1-21ef-41a5-926b-57a0c5e6d0f5,Approved,22633.73,42,2004-01-08,1971-10-28,1997-03-02,0,No,Headphones,Electronics,506.47,Medium,27.38,94.29
Luna-Brewer,Tuvalu,Healthcare,Small,1988-05-16,Product Sales,Online,USD,2020,4,North America,Bank Transfer,3636.66,2015-06-19,Pending,81fa9ac0-0751-44d1-96c2-9764f8268d65,Approved,91478.28,51,1980-09-22,1976-01-23,1995-09-25,22,Yes,Textbook,Books,222.95,Medium,75.98,75.98
"Hanson, Estrada and Nguyen",Lesotho,Technology,Small,2024-11-12,Subscription,Offline,USD,2020,1,North America,Bank Transfer,4569.58,2007-12-07,Failed,0dfe5fe1-60d9-4d12-8d41-8b80c034ae03,Rejected,92115.44,57,1975-04-12,2011-05-20,2000-08-02,30,Yes,Blender,Household Items,473.47,High,64.08,11.22
Walker-Olson,Tuvalu,Healthcare,Medium,1984-06-04,Product Sales,Online,USD,2023,4,Australia,Credit Card,9782.9,2015-01-23,Pending,91978b1f-714e-4eff-95f0-80532a19e8ad,Approved,11723.32,19,1976-05-12,2023-12-21,1981-08-21,26,No,Table,Furniture,673.79,Low,90.85,79.49
Jones Group,Tuvalu,Healthcare,Large,2008-03-06,Subscription,Offline,USD,2023,1,Africa,Credit Card,6395.78,1996-07-21,Completed,2f777860-acd0-4a2e-9a08-907aa5449339,Pending,41369.4,8,2007-12-29,2003-02-15,2022-03-24,16,Yes,Camera,Electronics,546.92,Medium,92.6,22.93
"Hanson, Estrada and Nguyen",Croatia,Retail,Small,1981-04-05,Product Sales,Offline,USD,2020,3,North America,Cash,8614.45,1975-08-24,Completed,e69e7d4b-32af-4f6b-9921-18ecde84eca7,Pending,27366.43,29,1974-01-29,1971-07-25,2004-08-04,13,No,Iron,Household Items,960.7,Medium,61.37,19.34
Luna-Brewer,Croatia,Finance,Medium,1975-01-09,Subscription,Offline,USD,2019,1,North America,Cash,5358.37,1970-12-05,Failed,8af3ea3d-313f-41d0-b03c-7ecebac1d845,Pending,38186.22,48,1991-08-23,1980-04-27,1973-02-10,10,No,Vacuum,Household Items,197.2,High,54.65,54.78
Luna-Brewer,Pakistan,Retail,Medium,1983-06-26,Subscription,Offline,USD,2018,2,Asia,Bank Transfer,1116.76,2017-02-21,Pending,e4ff35bd-9794-4bba-af35-f4ee7a2a6b8b,Approved,99672.19,42,2001-07-02,1994-02-14,1976-05-14,29,No,Laptop,Electronics,13.46,High,83.47,40.23
"Avila, King and Ingram",Gambia,Finance,Large,2007-01-20,Product Sales,Offline,USD,2018,2,North America,PayPal,4451.15,1999-04-30,Failed,154ee111-1e6b-444f-85d9-8f48780deb6b,Approved,74100.19,37,1984-03-23,2017-11-23,2018-12-14,2,Yes,Bed,Furniture,931.86,Medium,21.48,46.73
Oliver LLC,Maldives,Healthcare,Large,1988-12-30,Subscription,Offline,USD,2019,1,North America,PayPal,6551.81,1970-09-06,Completed,1ddc5a2d-381d-432f-b1af-05c412d636a9,Approved,90243.43,38,2018-12-10,1995-11-24,1993-10-27,29,Yes,Jacket,Clothing,100.32,Medium,84.23,61.23
Vasquez Group,Tonga,Technology,Small,2014-05-08,Subscription,Offline,USD,2022,2,Australia,Credit Card,6422.76,1985-06-20,Failed,f7b142d5-db08-4f14-8068-b8828513223d,Pending,11970.84,32,1992-08-08,1970-03-26,2018-01-24,1,No,Smartphone,Electronics,606.35,High,32.39,3.09
Oliver LLC,Gambia,Finance,Large,1990-12-27,Service Revenue,Offline,USD,2018,2,North America,Credit Card,2890.59,1980-06-29,Failed,80048770-ee82-425d-83ab-24ec3f87c0e7,Pending,74534.84,16,2012-10-30,1996-06-23,2000-04-24,18,Yes,Bed,Furniture,931.86,Medium,39.18,39.96
Perry-Hill,Tonga,Technology,Medium,1985-09-24,Product Sales,Offline,USD,2019,4,Asia,Credit Card,8405.94,1979-08-14,Completed,a3963b75-f439-4578-9a82-2b8d514fc2ea,Approved,68428.88,50,2019-06-18,2022-01-18,2001-12-20,27,Yes,Laptop,Electronics,13.46,Low,43.52,16.89
Vasquez Group,Tuvalu,Finance,Medium,1977-06-13,Service Revenue,Online,USD,2019,1,Africa,Credit Card,2930.88,1997-12-15,Pending,c1231e57-0864-4630-a705-a4570662dcee,Rejected,65105.43,42,1975-08-22,2019-03-31,2004-01-21,13,Yes,Jacket,Clothing,100.32,Low,15.47,32.73
Taylor Group,Gambia,Technology,Large,1998-10-10,Service Revenue,Offline,USD,2020,4,Asia,PayPal,8708.18,2018-09-21,Completed,5016a0e9-296a-48e4-9a7c-a0fdce28befd,Rejected,67095.25,48,2019-10-16,2017-02-21,1980-04-21,11,Yes,Shoes,Clothing,492.37,Medium,16.91,44.79
Perry-Hill,Tuvalu,Manufacturing,Small,2013-09-29,Service Revenue,Online,USD,2020,3,Asia,Bank Transfer,7126.66,2011-08-21,Failed,67f7a4ce-ecf1-4621-84c3-63f787a67526,Approved,68122.97,4,1995-02-27,2004-05-30,1982-07-29,30,No,Camera,Electronics,546.92,Medium,22.78,79.27
Luna-Brewer,Croatia,Healthcare,Small,1989-02-07,Product Sales,Offline,USD,2019,1,Australia,Cash,2134.16,2008-06-02,Failed,9995a022-182b-48d3-9ca8-5da5bf2eaac8,Pending,27316.51,44,2014-08-06,1993-07-24,1992-11-26,24,No,Magazine,Books,626.2,Medium,80.55,84.56
Perry-Hill,Tonga,Technology,Medium,2006-06-07,Subscription,Offline,USD,2019,1,Australia,Credit Card,7232.88,2023-06-06,Pending,9247fac2-f19f-4021-b139-8751e66d307e,Pending,68377.11,22,1995-06-27,1995-10-14,2009-04-17,5,Yes,Shoes,Clothing,492.37,High,38.61,10.43
